block_time,score,block_hash
24.71,91.1,0000000000000000000300ff0d7f7d083f5caf573575fcf633601c6384c6b638
4.1,67.1,0000000000000000000121157fd14760a9cbac93606b481caa78a693ab716ba6
37.64,80.9,000000000000000000047c74cf77b59f5c02b8fad1cdeb6feb5a6fb09785b9b1
11.48,99.6,000000000000000000037ae82f2e02f8e78b380bd084487851e68c897cc80ecb
8.59,80.4,0000000000000000000000d3be4f881d0940292671ffa5c2095bc019283aec63
4.13,59.600002,00000000000000000000bd684e36789d16da2cf5b08b47deb72d1448a73eae5c
13.73,87.1,00000000000000000001d2f29265d58de42e8db9c05df0e4e9886d36c063f0f6
6.33,52.2,000000000000000000023c0eb6dc802971e1df7a91d1e209bc4c34e78bde31d2
22.19,96.3,00000000000000000003603645ff6585ce294bb13890a794ad0b937e4109b61b
6.66,72.899994,00000000000000000001d1b93cb29a01dbd15d0da59b6d8ff7b8ddf92e0fdb7b
30.92,87.3,000000000000000000003a1c90516eaa88ee957c03bed0c583b434cce786f572
3.66,75.8,00000000000000000001ba3dc8ca926248456de13b2a42a4125fbcfbb080a499
7.58,52.399998,00000000000000000001d76cf45cf36c6dd865f73444c93acd9a167a802b6848
24.68,84.5,00000000000000000001a7226413c21773a990641a270312ba9f214e893468c7
1.13,94.0,000000000000000000024db11489a54e32ef630cda290258b7f85424ceecd094
41.1,88.1,00000000000000000002d75e5d0d9e076490c2843e53d6aa10c258a237362d3e
5.08,74.7,0000000000000000000237610f8f521a42f30d3649835802e49475f42426956f
4.41,67.299995,0000000000000000000079224e9adc61c70edf9edd73a2ddf0d5d626f3698a42
6.83,55.4,00000000000000000004b7e130fc4a25b97d19fb95f6b86cba35bbe4c34b2a4d
14.77,98.5,00000000000000000000f7da4be1e03546def4dbbd91c20b864002259b74937a
8.44,52.100002,0000000000000000000451d35186d405a9dc71281620c6209229934f39d64f7f
2.7,37.5,000000000000000000037c5af78db7093a9bcbcd956111c4ad7ba402dc1d96bb
8.43,92.6,00000000000000000001dc3a9688b67015c830161f2e7cf8754bc0fdbdd8fe1a
17.25,78.6,00000000000000000003582bcb057a06ecd9fd115aeb68bc18c64620b78ea1b7
5.0,22.8,000000000000000000003d3253686b42b174f679cf32106c4cb7eee12b492156
15.71,71.9,00000000000000000002ed6884ad951b99d33bba5a105844887a3799b6afe93b
4.95,30.8,00000000000000000001c93510252a2610d2af0a9a300d5e987022019ee72da3
8.63,67.2,000000000000000000025068048a62af20eb3b7172b81759937ee6fa69b8d443
6.01,33.899998,00000000000000000003dd34d0a2eca3f5b90bb45a347a077dad26fa11f0b8b9
12.37,92.5,000000000000000000006c30db18e2be7474f2ff94c6f89e8e806ea460b5f27f
10.19,85.1,00000000000000000003926d5a57999aa85cdb5e922d19d04bda0c6b3b80f361
25.11,81.9,000000000000000000049d15334530e5d59c426d9d6071df7da99fcd09b00b3c
2.88,61.199997,0000000000000000000071e987523626faf9b5f212ad2f1cac9ac93023c9ca5f
12.0,85.5,00000000000000000003b7f73a88482424c1be37d054252a94bfd561040731c0
23.34,98.6,00000000000000000003160fa223c7dd3d850d1923c565e2cf68d39e0d38207d
3.46,66.7,00000000000000000000c7e31ea9ae76527347f0cf590b4c1b6c59f107bb0e5d
13.67,96.200005,00000000000000000000101c56428bcc51c31891efdb160d39ba440a0fca9f72
32.17,91.0,00000000000000000003ed76f7d0218303eded84a4b88bd251346f3b5f637984
5.44,17.9,00000000000000000003553bea841d916c0351ffaf87122a5247a745056ace5b
11.82,92.2,000000000000000000031c167f40b8130f81ceaa25b5120112c49df9bad02ea2
6.28,56.5,00000000000000000002feb1ca7118132bdeea5f194c50c92be70746a48e9f32
4.29,51.899998,0000000000000000000267251c743487e421adec4f9e68f5ca070292e582d82c
10.96,71.5,00000000000000000002d198d7b945e8874001739cd9f2e2e5d74567d3d8eddd
9.55,76.700005,00000000000000000003cab9cd81272bf3299cdfaf1258aa6f83ff4c470cd78c
5.63,52.2,00000000000000000000dee190cc357669727913a80b8bfd6f9e1d3807976a41
12.7,88.8,000000000000000000011e890f733a02755f2a382be15f6b2eb9ec5a9614d32e
20.2,83.700005,00000000000000000000eab68417332bf6065807196e30335e9aadf213637aa1
20.0,83.600006,00000000000000000002d9954d7f0975864e6996527a9736b7ca6199c1e88f6f
12.19,97.5,00000000000000000000957b1b0a03e0c25d5821a3f11a57f8bf928a7c45e702
7.02,50.0,000000000000000000014a8401aad4a23f5a0e90ce8886535417d49c860a5b7f
28.83,90.6,0000000000000000000378d520a17c294b014670d40f0b40346c73e6882febdf
2.11,8.5,00000000000000000000b5e5d57807a3b4f3c731762b12b446c7b16ae14ac56a
12.52,69.3,0000000000000000000418f87ec0b40fb46b9d24f3c1d9624d801b8acb254a5a
32.53,92.7,000000000000000000032910800dac8b65fa4a02dc17a755fabde31a1f94bc64
3.56,99.9,00000000000000000002ab32e5cb235254bf5e42fe605c777af972aa5e5ad927
