block_time,score,block_hash
12.06,89.5,00000000000000000003b0cfd1dd0454655b48a9eb622930b43ad1a118be2002
5.76,75.3,000000000000000000046de5f6ed959ddb44d59acf18bbdad5ff463e00fe5dca
13.43,93.6,00000000000000000003d376da59831c26e041a48f2ed9806fea514134cafed9
24.57,94.700005,0000000000000000000219b9dd739e48eaa37eae42a3d3ceeee7bbf598395c87
14.87,99.5,000000000000000000001fc73dfda04ec5b248397f9b7dac88aa76b6b6a84a49
13.04,81.5,00000000000000000001313004539f63cf9c7edda1be70b63a73c56fa7092beb
3.65,70.4,0000000000000000000419d6e57ccc0a16b5037fd7e6a4aae42d792e20b3988c
24.14,94.3,00000000000000000000ebcdb28bd22d413b7e2067cc971322b0e732f834a250
22.55,83.9,00000000000000000000219deb5a30e3eb1c7d21d0aef9f5cad00f4953ae6098
6.48,98.5,00000000000000000002ca57a57725a8435dcf3aeee6a82dbb2c32d2618721a1
5.3,98.0,0000000000000000000080a6a24845129dcc6213ea36c1faed41199ff7c9ff5f
6.6,71.8,00000000000000000000aa6e5a975579e2b3c6732e7f6b91f30904a2bd97cf60
11.88,71.4,000000000000000000035bb2b0e0cd0e79ae5d34ff5ac512f8aafc19df857509
23.19,88.700005,000000000000000000021bc5f142f18934afc5fbd7305867718d8d00ac9f6b68
16.83,88.6,00000000000000000003dc43bc43568bb60cf8af6a214165fae3c553f0c86c9d
16.63,85.799995,00000000000000000003353566cd9fe954138064a62b4610c106c25308719b81
3.64,85.799995,00000000000000000000df50a0d843be7b1bfbd1b94bc834f5cb36fd745cc69f
6.09,73.2,00000000000000000002ed0665ace6aa19840cb6f6ca0def6bc61b91faefd517
4.35,38.3,000000000000000000035e50f6bd4da188d484f7fbe19063f94d9f51975b66c8
12.26,84.799995,000000000000000000007d4834e37fa7048290901c056350a3e0b32df826ecde
18.52,76.8,00000000000000000003edbd7c708f409655e232e50145c5bc6d7c126c34eeea
9.74,57.4,00000000000000000000feb2fd5788c9b14f0c57adc3a21adc5f7bee45f96dc9
4.99,64.700005,000000000000000000032fbda1da1a0aa602e80897dc951cf2055b084e6088e9
19.47,80.9,00000000000000000000573534a12be9f53dcd31a211d0d6acfa51e9b34de4da
20.32,80.1,00000000000000000003e128e33d0e0d8e807894978b5f1802df29fcb59ae427
7.66,95.8,00000000000000000002d76272281958501b4e55fbcd83d2232e1613af055b0a
14.82,98.9,000000000000000000027b6552752a340d5feeea0f7ac0496504ab4d1be56242
18.04,82.3,000000000000000000044364ac0bc5adabbb9386e8dbacc849831ac36f236653
4.4,73.4,0000000000000000000472687278192f76b633707ed94cb69c2af74311184f94
5.99,52.600002,0000000000000000000455994bda65099b3cfe74811b96f73377ed4ea821ec16
3.94,76.4,000000000000000000033be930fa19698cead0738d2b72db9f00bd7be055e1d8
11.07,75.5,000000000000000000014199957a55efd460542dddc07a78306877fe75176b0d
32.71,95.6,000000000000000000020e38f61366e66dee2e8d093c3d9c7b9b6dc77d418dcd
7.59,82.3,00000000000000000002ee566af2213b4047ec2468988533e549e0a133ab35c6
4.92,81.2,000000000000000000039fa25f474297109fffa3eb46192a39e03b13018c7664
5.17,72.299995,00000000000000000003220095a05efd69a7504e7ca328030d5efa1a1a7501bc
5.41,88.8,000000000000000000031db3b12f281a14d196d2911ecf8d94dd36cbf365b715
9.97,96.6,000000000000000000045885a48de6b721c7512b4835b6c41a10fb52bff75b6c
